
[MarioAI] ~ Evaluation Results: Evaluation lasted: 20659 ms; Status: Loss; Mode: small;  Passed (Cells): 53;  Passed (Phys): 856; Time Spent: 19; Time Left: 180; Coins: 16; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 4

[MarioAI] ~ Evaluation Results: Evaluation lasted: 34505 ms; Status: Loss; Mode: small;  Passed (Cells): 68;  Passed (Phys): 1092; Time Spent: 32; Time Left: 167; Coins: 21; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 4

[MarioAI] ~ Evaluation Results: Evaluation lasted: 2339 ms; Status: Loss; Mode: small;  Passed (Cells): 8;  Passed (Phys): 131; Time Spent: 2; Time Left: 197; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 4

[MarioAI] ~ Evaluation Results: Evaluation lasted: 38196 ms; Status: Loss; Mode: small;  Passed (Cells): 95;  Passed (Phys): 1530; Time Spent: 35; Time Left: 164; Coins: 30; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 4

[MarioAI] ~ Evaluation Results: Evaluation lasted: 34505 ms; Status: Loss; Mode: small;  Passed (Cells): 73;  Passed (Phys): 1173; Time Spent: 32; Time Left: 167; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 9; By Fire: 0; By Shell: 0; By Stomp: 9; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 4

[MarioAI] ~ Evaluation Results: Evaluation lasted: 124036 ms; Status: WIN!; Mode: small;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 116; Time Left: 83; Coins: 78; Hidden blocks: 0; Mushrooms: 2; Flowers: 0; Collisions: 2; kills: 21; By Fire: 0; By Shell: 0; By Stomp: 21; MEMO INFO: WIN;  level: 4

