
[MarioAI] ~ Evaluation Results: Evaluation lasted: 5060 ms; Status: Loss; Mode: small;  Passed (Cells): 21;  Passed (Phys): 350; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 22715 ms; Status: Loss; Mode: small;  Passed (Cells): 69;  Passed (Phys): 1105; Time Spent: 27; Time Left: 172; Coins: 37; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 15948 ms; Status: Loss; Mode: small;  Passed (Cells): 49;  Passed (Phys): 785; Time Spent: 19; Time Left: 180; Coins: 32; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 8634 ms; Status: Loss; Mode: small;  Passed (Cells): 37;  Passed (Phys): 605; Time Spent: 10; Time Left: 189; Coins: 11; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5608 ms; Status: Loss; Mode: small;  Passed (Cells): 21;  Passed (Phys): 347; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

